"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1","22uF","~","Capacitor_SMD:C_0805_2012Metric","1",""
"C2","100nF","~","Capacitor_SMD:C_0805_2012Metric","1",""
"C3","10uF","~","Capacitor_SMD:C_0805_2012Metric","1",""
"J1,J2","Conn_01x15_Socket","~","Connector_PinHeader_2.54mm:PinHeader_1x15_P2.54mm_Vertical","2",""
"J3","LiDAR_IN","~","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","1",""
"J4,J5,J6,J7","Conn_01x01_Pin","~","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","4",""
"J8,J9,J10","Conn_01x03_Pin","~","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","3",""
"J11","Conn_01x05_Pin","~","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical","1",""
"L1","3.3uH","~","Inductor_SMD:L_0805_2012Metric","1",""
"R1","52.3k","~","Resistor_SMD:R_0805_2012Metric","1",""
"R2","10k","~","Resistor_SMD:R_0805_2012Metric","1",""
"SW1","SW_Nidec_CAS-120A1","https://www.nidec-components.com/e/catalog/switch/cas.pdf","Button_Switch_SMD:Nidec_Copal_CAS-120A","1",""
"U1","AP62150Z6-7","AP62150Z6-7","KiCADv6:SOT563_DIO","1",""
